Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Duffy, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Duke, Zach",5000000,GOOD,Salary was parsed,2016,MLB,False
"Dull, Ryan",507500,GOOD,Salary was parsed,2016,MLB,False
"Dunn, Michael",3450000,GOOD,Salary was parsed,2016,MLB,False
"Duran, Juan",507500,GOOD,Salary was parsed,2016,MLB,False
"Duvall, Adam",507500,GOOD,Salary was parsed,2016,MLB,False
"Dyson, Jarrod",1725000,GOOD,Salary was parsed,2016,MLB,False
"Dyson, Sam",525270,GOOD,Salary was parsed,2016,MLB,False
"Eaton, Adam",2750000,GOOD,Salary was parsed,2016,MLB,False
"Edgin, Josh",625000,GOOD,Salary was parsed,2016,MLB,False
"Edwards, Carl",507500,GOOD,Salary was parsed,2016,MLB,False
"Edwards, Jon",507500,GOOD,Salary was parsed,2016,MLB,False
"Eibner, Brett",507500,GOOD,Salary was parsed,2016,MLB,False
"Eickhoff, Jerad",507500,GOOD,Salary was parsed,2016,MLB,False
"Elias, Roenis",507500,GOOD,Salary was parsed,2016,MLB,False
"Ellington, Brian",507500,GOOD,Salary was parsed,2016,MLB,False
"Ellis, A.J.",4500000,GOOD,Salary was parsed,2016,MLB,False
"Ellsbury, Jacoby",21142857,GOOD,Salary was parsed,2016,MLB,True
"Encarnacion, Edwin",10000000,GOOD,Salary was parsed,2016,MLB,True
"Eovaldi, Nate",5600000,GOOD,Salary was parsed,2016,MLB,False
"Erlin, Robbie",507500,GOOD,Salary was parsed,2016,MLB,False
"Esch, Jacob",507500,GOOD,Salary was parsed,2016,MLB,False
"Escobar, Alcides",5250000,GOOD,Salary was parsed,2016,MLB,False
"Escobar, Eduardo",2150000,GOOD,Salary was parsed,2016,MLB,False
"Escobar, Edwin",507500,GOOD,Salary was parsed,2016,MLB,False
"Escobar, Yunel",7000000,GOOD,Salary was parsed,2016,MLB,False
"Espinosa, Danny",2875000,GOOD,Salary was parsed,2016,MLB,False
"Estevez, Carlos",507500,GOOD,Salary was parsed,2016,MLB,False
"Estrada, Marco",11500000,GOOD,Salary was parsed,2016,MLB,True
"Ethier, Andre",18000000,GOOD,Salary was parsed,2016,MLB,True
"Familia, Jeurys",4100000,GOOD,Salary was parsed,2016,MLB,False
"Faria, Jacob",507500,GOOD,Salary was parsed,2016,MLB,False
"Farmer, Buck",507500,GOOD,Salary was parsed,2016,MLB,False
"Farquhar, Danny",507500,GOOD,Salary was parsed,2016,MLB,False
"Faulkner, Andrew",507500,GOOD,Salary was parsed,2016,MLB,False
"Featherston, Taylor",507500,GOOD,Salary was parsed,2016,MLB,False
"Feldman, Scott",8000000,GOOD,Salary was parsed,2016,MLB,False
"Feliz, Michael",507500,GOOD,Salary was parsed,2016,MLB,False
"Feliz, Neftali",3900000,GOOD,Salary was parsed,2016,MLB,False
"Fernandez, Jose",2800000,GOOD,Salary was parsed,2016,MLB,False
"Ferrell, Jeff",507500,GOOD,Salary was parsed,2016,MLB,False
"Fielder, Prince",24000000,GOOD,Salary was parsed,2016,MLB,True
"Fields, Daniel",507500,GOOD,Salary was parsed,2016,MLB,False
"Fields, Josh",900000,GOOD,Salary was parsed,2016,MLB,False
"Fien, Casey",2275000,GOOD,Salary was parsed,2016,MLB,False
"Fiers, Michael",507500,GOOD,Salary was parsed,2016,MLB,False
"Finnegan, Brandon",507500,GOOD,Salary was parsed,2016,MLB,False
"Fister, Doug",no salary data,NO_SALARY_DATA,'no salary data' was present for the value,2016,MLB,False
"Flaherty, Ryan",1500000,GOOD,Salary was parsed,2016,MLB,False
"Flores, Kendry",507500,GOOD,Salary was parsed,2016,MLB,False
"Flores, Ramon",507500,GOOD,Salary was parsed,2016,MLB,False
"Flores, Wilmer",507500,GOOD,Salary was parsed,2016,MLB,False
"Florimon Jr, Pedro",507500,GOOD,Salary was parsed,2016,MLB,False
"Flowers, Tyler",2000000,GOOD,Salary was parsed,2016,MLB,False
"Floyd, Gavin",1000000,GOOD,Salary was parsed,2016,MLB,False
"Flynn, Brian",507500,GOOD,Salary was parsed,2016,MLB,False
"Foltynewicz, Mike",507500,GOOD,Salary was parsed,2016,MLB,False
"Fontana, Nolan",507500,GOOD,Salary was parsed,2016,MLB,False
"Forsythe, Logan",2250000,GOOD,Salary was parsed,2016,MLB,False
"Fowler, Dexter",8000000,GOOD,Salary was parsed,2016,MLB,False
"Franco, Maikel",507500,GOOD,Salary was parsed,2016,MLB,False
"Franklin, Nick",507500,GOOD,Salary was parsed,2016,MLB,False
"Frazier, Todd",8250000,GOOD,Salary was parsed,2016,MLB,False
"Freeman, Freddie",12359375,GOOD,Salary was parsed,2016,MLB,True
"Freeman, Sam",520700,GOOD,Salary was parsed,2016,MLB,False
"Frias, Carlos",507500,GOOD,Salary was parsed,2016,MLB,False
"Fuentes, Reymond",507500,GOOD,Salary was parsed,2016,MLB,False
"Fuld, Sam",1925000,GOOD,Salary was parsed,2016,MLB,False
"Fulmer, Michael",507500,GOOD,Salary was parsed,2016,MLB,False
"Furbush, Charlie",1600000,GOOD,Salary was parsed,2016,MLB,False
"Gallardo, Yovani",9000000,GOOD,Salary was parsed,2016,MLB,False
"Gallo, Joey",507500,GOOD,Salary was parsed,2016,MLB,False
"Galvis, Freddy",2000000,GOOD,Salary was parsed,2016,MLB,False
"Gamel, Ben",507500,GOOD,Salary was parsed,2016,MLB,False
"Gant, John",507500,GOOD,Salary was parsed,2016,MLB,False
"Garcia, Adonis",507500,GOOD,Salary was parsed,2016,MLB,False
"Garcia, Anthony",507500,GOOD,Salary was parsed,2016,MLB,False
